MAR___GCF_003387615.1,2,0.2,#33a02c,1,1,Bacteroidota
MAR___GCF_000259115.1,2,0.2,#009ACD,1,1,Proteobacteria
MAR___GCF_900105455.1,2,0.2,#33a02c,1,1,Bacteroidota
MAR___GCF_000430645.1,2,0.2,#33a02c,1,1,Bacteroidota
MAR___GCF_002895435.1,2,0.2,#33a02c,1,1,Bacteroidota
MAR___GCF_001634065.1,2,0.2,#009ACD,1,1,Proteobacteria
MAR___GCF_900119185.1,2,0.2,#33a02c,1,1,Bacteroidota
MAR___GCF_003867075.1,2,0.2,#33a02c,1,1,Bacteroidota
MAR___GCF_001625595.1,2,0.2,#009ACD,1,1,Proteobacteria
MAR___GCF_002964665.1,2,0.2,#009ACD,1,1,Proteobacteria
MAR___GCF_009362255.1,2,0.2,#33a02c,1,1,Bacteroidota
MAR___GCF_900129475.1,2,0.2,#33a02c,1,1,Bacteroidota
MAR___GCF_001027945.1,2,0.2,#33a02c,1,1,Bacteroidota
MAR___GCF_001444405.1,2,0.2,#009ACD,1,1,Proteobacteria
MAR___GCF_003429305.1,2,0.2,#009ACD,1,1,Proteobacteria
MAR___GCF_000967555.1,2,0.2,#009ACD,1,1,Proteobacteria
MAR___GCF_001709235.1,2,0.2,#009ACD,1,1,Proteobacteria
MAR___GCF_001401755.1,2,0.2,#33a02c,1,1,Bacteroidota
MAR___GCF_000967805.1,2,0.2,#33a02c,1,1,Bacteroidota
MAR___GCF_000169175.1,2,0.2,#33a02c,1,1,Bacteroidota
MAR___GCF_000276645.1,2,0.2,#009ACD,1,1,Proteobacteria
MAR___GCF_000239075.1,2,0.2,#a33620,1,1,Actinobacteriota
MAR___GCF_002836595.1,2,0.2,#33a02c,1,1,Bacteroidota
MAR___GCF_000520955.1,2,0.2,#33a02c,1,1,Bacteroidota
MAR___GCF_900156145.1,2,0.2,#33a02c,1,1,Bacteroidota
MAR___GCF_900446845.1,2,0.2,#33a02c,1,1,Bacteroidota
MAR___GCF_001854605.1,2,0.2,#009ACD,1,1,Proteobacteria
MAR___GCF_001854475.1,2,0.2,#009ACD,1,1,Proteobacteria
MAR___GCF_000238315.3,2,0.2,#009ACD,1,1,Proteobacteria
MAR___GCF_001854555.1,2,0.2,#009ACD,1,1,Proteobacteria
MAR___GCF_000948985.1,2,0.2,#009ACD,1,1,Proteobacteria
MAR___GCF_000382005.1,2,0.2,#009ACD,1,1,Proteobacteria
MAR___GCF_003429325.1,2,0.2,#009ACD,1,1,Proteobacteria
MAR___GCF_002591815.1,2,0.2,#009ACD,1,1,Proteobacteria
MAR___GCF_003626535.1,2,0.2,#a33620,1,1,Actinobacteriota
MAR___GCF_001751305.1,2,0.2,#a33620,1,1,Actinobacteriota
MAR___GCF_001866675.1,2,0.2,#a33620,1,1,Actinobacteriota
MAR___GCF_900299535.1,2,0.2,#33a02c,1,1,Bacteroidota
MAR___GCF_900143185.1,2,0.2,#33a02c,1,1,Bacteroidota
MAR___GCF_003663945.1,2,0.2,#33a02c,1,1,Bacteroidota
MAR___GCF_900142245.1,2,0.2,#32868a,1,1,Bacillota
MAR___GCF_002208135.1,2,0.2,#009ACD,1,1,Proteobacteria
MAR___GCF_001687325.1,2,0.2,#a33620,1,1,Actinobacteriota
MAR___GCF_002382885.1,2,0.2,#a33620,1,1,Actinobacteriota
MAR___GCF_002835635.1,2,0.2,#32868a,1,1,Bacillota
MAR___GCF_003385415.1,2,0.2,#33a02c,1,1,Bacteroidota
MAR___GCF_002893085.1,2,0.2,#33a02c,1,1,Bacteroidota
MAR___GCF_001573665.1,2,0.2,#32868a,1,1,Bacillota
MAR___GCF_001854205.1,2,0.2,#EEAD0E,1,1,Cyanobacteria
MAR___GCF_000710955.1,2,0.2,#a33620,1,1,Actinobacteriota
MAR___GCF_003934235.1,2,0.2,#009ACD,1,1,Proteobacteria
MAR___GCF_000175795.2,2,0.2,#32868a,1,1,Bacillota
MAR___GCF_002910875.1,2,0.2,#a33620,1,1,Actinobacteriota
MAR___GCF_003122365.1,2,0.2,#a33620,1,1,Actinobacteriota
MAR___GCF_001006285.1,2,0.2,#32868a,1,1,Bacillota
MAR___GCF_003626645.1,2,0.2,#a33620,1,1,Actinobacteriota
MAR___GCF_001866665.1,2,0.2,#a33620,1,1,Actinobacteriota
MAR___GCF_001905725.1,2,0.2,#a33620,1,1,Actinobacteriota
MAR___GCF_002754675.1,2,0.2,#a33620,1,1,Actinobacteriota
MAR___GCF_003311645.1,2,0.2,#a33620,1,1,Actinobacteriota
MAR___GCF_000967575.1,2,0.2,#009ACD,1,1,Proteobacteria
MAR___GCF_002910985.1,2,0.2,#a33620,1,1,Actinobacteriota
MAR___GCF_002910935.1,2,0.2,#a33620,1,1,Actinobacteriota
MAR___GCF_000800535.1,2,0.2,#a33620,1,1,Actinobacteriota
MAR___GCF_002832675.1,2,0.2,#a33620,1,1,Actinobacteriota
MAR___GCF_002910915.1,2,0.2,#a33620,1,1,Actinobacteriota
MAR___GCF_002082175.1,2,0.2,#a33620,1,1,Actinobacteriota
MAR___GCF_002835515.1,2,0.2,#009ACD,1,1,Proteobacteria
MAR___GCF_003863375.2,2,0.2,#33a02c,1,1,Bacteroidota
MAR___GCF_900141985.1,2,0.2,#a33620,1,1,Actinobacteriota
MAR___GCF_003323715.1,2,0.2,#a33620,1,1,Actinobacteriota
MAR___GCF_000980885.2,2,0.2,#a33620,1,1,Actinobacteriota
MAR___GCF_003323735.1,2,0.2,#a33620,1,1,Actinobacteriota
MAR___GCF_003846165.1,2,0.2,#a33620,1,1,Actinobacteriota
MAR___GCF_003721495.1,2,0.2,#a33620,1,1,Actinobacteriota
MAR___GCF_003846185.1,2,0.2,#a33620,1,1,Actinobacteriota
MAR___GCF_001905905.1,2,0.2,#a33620,1,1,Actinobacteriota
MAR___GCF_001905385.1,2,0.2,#a33620,1,1,Actinobacteriota
MAR___GCF_002803175.1,2,0.2,#a33620,1,1,Actinobacteriota
MAR___GCF_002910905.1,2,0.2,#a33620,1,1,Actinobacteriota
MAR___GCF_002910755.1,2,0.2,#a33620,1,1,Actinobacteriota
MAR___GCF_001941625.1,2,0.2,#a33620,1,1,Actinobacteriota
MAR___GCF_000724545.1,2,0.2,#33a02c,1,1,Bacteroidota
MAR___GCF_002954125.1,2,0.2,#32868a,1,1,Bacillota
MAR___GCF_900129965.1,2,0.2,#32868a,1,1,Bacillota
MAR___GCF_002843385.1,2,0.2,#33a02c,1,1,Bacteroidota
MAR___GCF_001942495.1,2,0.2,#EEAD0E,1,1,Cyanobacteria
MAR___GCF_000341065.1,2,0.2,#a33620,1,1,Actinobacteriota
MAR___GCF_000381685.1,2,0.2,#a33620,1,1,Actinobacteriota
MAR___GCF_002846275.1,2,0.2,#a33620,1,1,Actinobacteriota
MAR___GCF_002943715.1,2,0.2,#33a02c,1,1,Bacteroidota
